Type: light | Measure: 15.62 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: light | Measure: 15.71 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 62.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 40.49 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.34 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 982.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 15.21 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 58.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 41.52 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.12 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 936.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 19.49 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 50.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 41.34 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.39 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 900.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 6.03 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: -3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 40.77 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 16.7 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 31.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.3 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 975.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 9.23 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 38.17 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: temperature | Measure: 19.85 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 1166.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: -11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 39.09 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: light | Measure: 24.26 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: temperature | Measure: 20.78 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 990.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 13.68 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 42.08 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.78 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 986.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 13.59 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 42.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 42.64 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.78 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 978.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 12.6 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 50.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 42.64 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.87 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 982.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 34.78 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 43.19 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.9 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 920.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 4.37 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: -15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 31.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 41.33 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: accel_z | Measure: 908.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: accel_x | Measure: -19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: temperature | Measure: 20.87 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 986.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 3.42 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 40.96 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.77 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 920.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 2.88 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: -19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 27.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 41.33 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 20.74 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 951.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 1.8 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 40.96 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 21.99 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 951.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 70.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 38.48 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 21.78 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 897.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 39.09 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 21.74 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 978.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 38.73 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 21.6 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 893.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: -7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 50.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 39.65 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 21.64 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 971.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 62.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 38.73 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
